order_number,material_code,material_name,unit,quantity_planned,quantity_used
OP-2026-900000,THREAD-COTTON,Hilo algodón,m,341.29,316.91
OP-2026-900000,PAPER-KRAFT-80,Papel kraft 80g,kg,92.53,93.29
OP-2026-900000,INK-MAGENTA-LX,Tinta magenta Lx,L,177.87,180.38
OP-2026-900001,THREAD-COTTON,Hilo algodón,m,86.68,87.22
OP-2026-900001,INK-CYAN-LX,Tinta cian Lx,L,462.54,444.19
OP-2026-900001,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,345.22,347.32
OP-2026-900002,THREAD-COTTON,Hilo algodón,m,368.98,343.53
OP-2026-900003,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,351.55,361.31
OP-2026-900003,INK-MAGENTA-LX,Tinta magenta Lx,L,382.45,385.93
OP-2026-900003,PAPER-KRAFT-80,Papel kraft 80g,kg,286.88,288.02
OP-2026-900004,THREAD-COTTON,Hilo algodón,m,58.2,55.88
OP-2026-900004,INK-MAGENTA-LX,Tinta magenta Lx,L,478.03,461.02
OP-2026-900005,INK-CYAN-LX,Tinta cian Lx,L,499.99,470.06
OP-2026-900005,THREAD-COTTON,Hilo algodón,m,183.11,187.22
OP-2026-900006,THREAD-COTTON,Hilo algodón,m,201.54,205.49
OP-2026-900006,PAPER-KRAFT-80,Papel kraft 80g,kg,108.97,105.59
OP-2026-900006,INK-MAGENTA-LX,Tinta magenta Lx,L,123.01,126.46
OP-2026-900007,INK-CYAN-LX,Tinta cian Lx,L,234.89,236.75
OP-2026-900007,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,156.89,153.4
OP-2026-900007,PAPER-KRAFT-80,Papel kraft 80g,kg,178.22,181.3
OP-2026-900008,INK-CYAN-LX,Tinta cian Lx,L,189.26,194.01
OP-2026-900008,THREAD-COTTON,Hilo algodón,m,261.06,268.52
OP-2026-900009,THREAD-COTTON,Hilo algodón,m,257.76,246.58
OP-2026-900009,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,221.84,219.3
OP-2026-900010,INK-CYAN-LX,Tinta cian Lx,L,410.57,385.11
OP-2026-900011,PAPER-KRAFT-80,Papel kraft 80g,kg,443.35,439.84
OP-2026-900011,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,96.17,99.05
OP-2026-900012,INK-MAGENTA-LX,Tinta magenta Lx,L,87.74,82.55
OP-2026-900013,THREAD-COTTON,Hilo algodón,m,423.97,395.11
OP-2026-900013,INK-CYAN-LX,Tinta cian Lx,L,459.73,471.76
OP-2026-900014,PAPER-KRAFT-80,Papel kraft 80g,kg,73.97,72.88
OP-2026-900014,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,156.1,163.79
OP-2026-900015,INK-CYAN-LX,Tinta cian Lx,L,193.41,180.43
OP-2026-900015,PAPER-KRAFT-80,Papel kraft 80g,kg,371.62,358.09
OP-2026-900016,INK-CYAN-LX,Tinta cian Lx,L,67.24,69.88
OP-2026-900017,INK-CYAN-LX,Tinta cian Lx,L,251.87,231.89
OP-2026-900017,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,85.65,81.65
OP-2026-900018,THREAD-COTTON,Hilo algodón,m,473.1,472.7
OP-2026-900019,PAPER-KRAFT-80,Papel kraft 80g,kg,156.94,146.87
OP-2026-900019,INK-MAGENTA-LX,Tinta magenta Lx,L,157.3,157.78
OP-2026-900020,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,426.51,420.1
OP-2026-900020,PAPER-KRAFT-80,Papel kraft 80g,kg,291.22,291.85
OP-2026-900020,THREAD-COTTON,Hilo algodón,m,308.77,312.91
OP-2026-900021,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,326.66,310.74
OP-2026-900021,PAPER-KRAFT-80,Papel kraft 80g,kg,237.46,238.97
OP-2026-900022,THREAD-COTTON,Hilo algodón,m,488.59,453.8
OP-2026-900023,THREAD-COTTON,Hilo algodón,m,443.0,410.07
OP-2026-900023,PAPER-KRAFT-80,Papel kraft 80g,kg,224.1,217.05
OP-2026-900023,INK-CYAN-LX,Tinta cian Lx,L,386.29,373.32
OP-2026-900024,INK-MAGENTA-LX,Tinta magenta Lx,L,158.51,159.37
OP-2026-900025,THREAD-COTTON,Hilo algodón,m,380.83,366.83
OP-2026-900026,INK-MAGENTA-LX,Tinta magenta Lx,L,295.71,303.33
OP-2026-900027,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,491.37,482.63
OP-2026-900028,INK-CYAN-LX,Tinta cian Lx,L,78.4,80.04
OP-2026-900029,PAPER-KRAFT-80,Papel kraft 80g,kg,140.72,143.93
OP-2026-900029,INK-MAGENTA-LX,Tinta magenta Lx,L,448.61,431.13
OP-2026-900030,THREAD-COTTON,Hilo algodón,m,495.11,490.45
OP-2026-900030,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,163.99,166.93
OP-2026-900031,INK-MAGENTA-LX,Tinta magenta Lx,L,210.64,215.17
OP-2026-900032,INK-MAGENTA-LX,Tinta magenta Lx,L,409.7,400.2
OP-2026-900032,THREAD-COTTON,Hilo algodón,m,230.01,224.76
OP-2026-900032,PAPER-KRAFT-80,Papel kraft 80g,kg,480.42,463.16
OP-2026-900033,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,361.43,349.78
OP-2026-900034,INK-MAGENTA-LX,Tinta magenta Lx,L,241.02,235.23
OP-2026-900034,PAPER-KRAFT-80,Papel kraft 80g,kg,497.79,469.64
OP-2026-900034,THREAD-COTTON,Hilo algodón,m,182.19,170.04
OP-2026-900035,INK-MAGENTA-LX,Tinta magenta Lx,L,250.66,253.99
OP-2026-900035,THREAD-COTTON,Hilo algodón,m,124.99,122.2
OP-2026-900036,PAPER-KRAFT-80,Papel kraft 80g,kg,326.68,319.02
OP-2026-900036,INK-MAGENTA-LX,Tinta magenta Lx,L,337.76,345.49
OP-2026-900037,PAPER-KRAFT-80,Papel kraft 80g,kg,352.03,342.46
OP-2026-900038,INK-CYAN-LX,Tinta cian Lx,L,431.9,435.42
OP-2026-900038,PAPER-KRAFT-80,Papel kraft 80g,kg,247.18,231.46
OP-2026-900038,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,156.2,156.8
OP-2026-900039,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,322.29,324.96
OP-2026-900039,PAPER-KRAFT-80,Papel kraft 80g,kg,476.97,461.88
OP-2026-900040,THREAD-COTTON,Hilo algodón,m,111.96,108.34
OP-2026-900041,INK-MAGENTA-LX,Tinta magenta Lx,L,482.23,445.28
OP-2026-900041,INK-CYAN-LX,Tinta cian Lx,L,133.72,132.02
OP-2026-900042,PAPER-KRAFT-80,Papel kraft 80g,kg,366.82,347.71
OP-2026-900042,INK-MAGENTA-LX,Tinta magenta Lx,L,325.34,328.66
OP-2026-900042,INK-CYAN-LX,Tinta cian Lx,L,499.38,472.43
OP-2026-900043,PAPER-KRAFT-80,Papel kraft 80g,kg,253.42,262.75
OP-2026-900044,PAPER-KRAFT-80,Papel kraft 80g,kg,350.53,354.82
OP-2026-900044,INK-MAGENTA-LX,Tinta magenta Lx,L,297.5,284.93
OP-2026-900045,INK-CYAN-LX,Tinta cian Lx,L,407.16,401.52
OP-2026-900045,THREAD-COTTON,Hilo algodón,m,104.61,98.97
OP-2026-900046,INK-CYAN-LX,Tinta cian Lx,L,405.67,374.6
OP-2026-900047,THREAD-COTTON,Hilo algodón,m,411.65,408.24
OP-2026-900047,INK-MAGENTA-LX,Tinta magenta Lx,L,325.38,303.0
OP-2026-900047,INK-CYAN-LX,Tinta cian Lx,L,189.18,198.63
OP-2026-900048,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,420.5,390.89
OP-2026-900048,THREAD-COTTON,Hilo algodón,m,487.57,489.28
OP-2026-900048,INK-CYAN-LX,Tinta cian Lx,L,252.49,254.61
OP-2026-900049,INK-CYAN-LX,Tinta cian Lx,L,395.5,370.49
OP-2026-900049,THREAD-COTTON,Hilo algodón,m,276.29,285.37
OP-2026-900050,THREAD-COTTON,Hilo algodón,m,118.86,111.9
